id,darija,translit_darija,fr,module,msa,translit_msa,notes
cmo8hyi6k00d34ey1rccrh882,بَنْزِين,benzine,essence,Aden - Vocabulaire — Transport,,,
cmo8hyi6j00cs4ey1z3jod2w1,بِيكَالَا,bikala,vélo,Aden - Vocabulaire — Transport,,,
cmo8hyi6j00cm4ey1n2qm0l2p,تْرَام,tram,tramway,Aden - Vocabulaire — Transport,,,
cmo8hyi6k00d94ey1i2yngmzi,جِسْر,jsr,pont,Aden - Vocabulaire — Transport,,,
cmo8hyi6k00df4ey17mqx03un,حَادِثَة,7aditha,accident,Aden - Vocabulaire — Transport,,,
cmo8hyi6k00de4ey16t38grym,حْزَام السَّلَامَة,7zam ssalama,ceinture de sécurité,Aden - Vocabulaire — Transport,,,
cmo8hyi6j00d04ey1dn12ablr,رَادَار,radar,radar,Aden - Vocabulaire — Transport,,,
cmo8hyi6j00d14ey1nwy6m9tg,رُخْصَة السْيَاقَة,rokhsa ssya9a,permis de conduire,Aden - Vocabulaire — Transport,,,
cmo8hyi6j00cy4ey1hj2b56kv,زَنْقَة,zanqa,rue,Aden - Vocabulaire — Transport,,,
cmo8hyi6j00ch4ey1yvggg2sz,سَيَّارَة,sayyara,voiture (variante),Aden - Vocabulaire — Transport,,,
cmo8hyi6k00dg4ey1chin4h3h,شُرْطَة المُرُور,chorta lmorour,police routière,Aden - Vocabulaire — Transport,,,
cmo8hyi6j00cp4ey1ocmnrr4x,طَائِرَة,ta2ira,avion (variante),Aden - Vocabulaire — Transport,,,
cmo8hyi6j00ci4ey11d107io7,طَاكْسِي,taksi,taxi,Aden - Vocabulaire — Transport,,,
cmo8hyi6j00ck4ey1k8uemfpl,طَاكْسِي صْغِير,taksi sghir,petit taxi,Aden - Vocabulaire — Transport,,,
cmo8hyi6j00cj4ey1jc7dehlg,طَاكْسِي كْبِير,taksi kbir,grand taxi,Aden - Vocabulaire — Transport,,,
cmo8hyi6j00cw4ey1djgvcrsb,طْرِيق,Triq,route,Aden - Vocabulaire — Transport,,,
cmo8hyi6j00cl4ey1jl1qzraq,طُوبِيس,tobis,bus,Aden - Vocabulaire — Transport,,,
cmo8hyi6j00cg4ey1gkx297wj,طُومُوبِيل,tomobil,voiture,Aden - Vocabulaire — Transport,,,
cmo8hyi6j00co4ey1z7k6zgui,طْيَارَة,Tiyara,avion,Aden - Vocabulaire — Transport,,,
cmo8hyi6k00dc4ey12a7fxxj5,عَجْلَة,3ajla,roue,Aden - Vocabulaire — Transport,,,
cmo8hyi6k00db4ey1yganabql,فْرَان,frran,four,Aden - Vocabulaire — Transport,,,
cmo8hyi6j00cn4ey11sx05io0,قْطَار,qTar,train,Aden - Vocabulaire — Transport,,,
cmo8hyi6j00cu4ey1sq33e8j6,كَار,kar,autocar,Aden - Vocabulaire — Transport,,,
cmo8hyi6k00d54ey19qbnqdtz,كَرُّوصَة,karossa,charrette,Aden - Vocabulaire — Transport,,,
cmo8hyi6k00d44ey1viu43h35,كْلَاكْسُون,klakson,klaxon,Aden - Vocabulaire — Transport,,,
cmo8hyi6j00ct4ey1r93wu8mh,لُوطُو كَار,loto kar,minibus inter‑ville,Aden - Vocabulaire — Transport,,,
cmo8hyi6j00d24ey1ifz56dv8,مَازُوط,mazout,diesel,Aden - Vocabulaire — Transport,,,
cmo8hyi6j00cv4ey1vbvrydij,مَحَطَّة,ma7aTTa,gare / station,Aden - Vocabulaire — Transport,,,
cmo8hyi6k00d74ey1rseb552h,مَطَار,matar,aéroport,Aden - Vocabulaire — Transport,,,
cmo8hyi6j00cq4ey10n5j9xn1,مُوتُور,motor,moto,Aden - Vocabulaire — Transport,,,
cmo8hyi6k00dd4ey1wj6mrlc5,مُوتُور السَّيَّارَة,motour ssayara,moteur,Aden - Vocabulaire — Transport,,,
cmo8hyi6j00cz4ey186rl706c,مَوْقِف,mwqef,parking / arrêt,Aden - Vocabulaire — Transport,,,
cmo8hyi6k00d64ey1o1k3x9ip,مِيتْرُو,mitro,métro,Aden - Vocabulaire — Transport,,,
cmo8hyi6k00d84ey1xvokgsgb,مِينَاء,mina2,port,Aden - Vocabulaire — Transport,,,
cmo8hyi9a00xd4ey1fk1l055f,البطاريا,l-batarya,la batterie,Alep — Téléphone & internet,,,
cmo8hyi8y00x84ey125747mqt,التيليفون,t-tilifon,le téléphone,Alep — Téléphone & internet,,,
cmo8hyi8y00xb4ey1a39pqyc3,الريزو,r-rizo,le réseau,Alep — Téléphone & internet,,,
cmo8hyi9a00xc4ey1aasdiw0t,المسج,l-mesaj,le message,Alep — Téléphone & internet,,,
cmo8hyi8y00x94ey10kuokmun,النومرو,n-noumro,le numéro,Alep — Téléphone & internet,,,
cmo8hyi9a00xe4ey1yfjn9t90,خاوية,khawya,vide,Alep — Téléphone & internet,,,
cmo8hyi8y00xa4ey19fb56558,عيط,3iyet,appelle,Alep — Téléphone & internet,,,
cmo8hyi6a008c4ey1qzuax23c,أَلْعَاب فِيدْيُو,al3ab fidyo,jeux vidéo,Alexandrie - Vocabulaire — Loisirs,,,
cmo8hyi62008b4ey1rpqf6oig,تْخْيِيم,tkhim,camping,Alexandrie - Vocabulaire — Loisirs,,,
cmo8hyi6200884ey1x1arh0gl,تْصْوِير,tswir,photographie,Alexandrie - Vocabulaire — Loisirs,,,
cmo8hyi6a008h4ey1puv64tmt,تْطَوُّع,tTaTawwa3,bénévolat,Alexandrie - Vocabulaire — Loisirs,,,
cmo8hyi6200804ey1e5c8z9d4,جْرِي,jri,courir,Alexandrie - Vocabulaire — Loisirs,,,
cmo8hyi6a008g4ey1593s3cad,حْدِيقَة,7adiqa,jardin / parc,Alexandrie - Vocabulaire — Loisirs,,,
cmo8hyi6200864ey175dghcor,رَسْم,rasm,dessin,Alexandrie - Vocabulaire — Loisirs,,,
cmo8hyi6200844ey1zn8ajd25,رَقْص,raqs,danse,Alexandrie - Vocabulaire — Loisirs,,,
cmo8hyi62007y4ey1fd3guz02,رِيَاضَة,riyada,sport,Alexandrie - Vocabulaire — Loisirs,,,
cmo8hyi6200814ey1epxrlmq4,سْبَاحَة,sba7a,natation,Alexandrie - Vocabulaire — Loisirs,,,
cmo8hyi6200894ey1282ja2h5,سْفَر,safar,voyage,Alexandrie - Vocabulaire — Loisirs,,,
cmo8hyi6a008e4ey199zksls9,شْطْرَنْج,chTrenj,échecs,Alexandrie - Vocabulaire — Loisirs,,,
cmo8hyi6a008d4ey1iw23ifb0,صَيْد,Sayd,pêche / chasse,Alexandrie - Vocabulaire — Loisirs,,,
cmo8hyi62008a4ey14hczcr6v,طْبْخ,Tbkh,cuisine,Alexandrie - Vocabulaire — Loisirs,,,
cmo8hyi6200834ey1xnrrrbzp,غْنَاء,ghina2,chant,Alexandrie - Vocabulaire — Loisirs,,,
cmo8hyi6200874ey163wya4tn,كْتَابَة,ktaba,écriture,Alexandrie - Vocabulaire — Loisirs,,,
cmo8hyi62007z4ey1koicj53t,كُرَة القَدَم,kora lqadam,football,Alexandrie - Vocabulaire — Loisirs,,,
cmo8hyi6200854ey11ye3nakh,مْطَالَعَة,mTala3a,lecture,Alexandrie - Vocabulaire — Loisirs,,,
cmo8hyi6200824ey1o7t9zb43,مُوسِيقَى,mousiqa,musique,Alexandrie - Vocabulaire — Loisirs,,,
cmo8hyi6a008f4ey17dvlyt83,يُوغَا,yoga,yoga,Alexandrie - Vocabulaire — Loisirs,,,
cmo8hyi5s003t4ey1vgvlgklk,جْلْد,jeld,peau,Alger - Vocabulaire — Corps humain,,,
cmo8hyi5s003m4ey104vk3qy6,جْنْب,jenb,côté,Alger - Vocabulaire — Corps humain,,,
cmo8hyi5s003i4ey17hm62ms5,دْرَاع,dra3,bras,Alger - Vocabulaire — Corps humain,,,
cmo8hyi5s003u4ey1q1weumal,دْم,dm,sang,Alger - Vocabulaire — Corps humain,,,
cmo8hyi5s003v4ey14rlz6qhq,دْمَاغ,dmagh,cerveau,Alger - Vocabulaire — Corps humain,,,
cmo8hyi5s00354ey1y2394iaf,رَاس,ras,tête,Alger - Vocabulaire — Corps humain,,,
cmo8hyi5s003o4ey1mcjls9yc,رْجْل,rjel,jambe,Alger - Vocabulaire — Corps humain,,,
cmo8hyi5s003f4ey15k6doqfl,رْقْبَة,rqba,cou,Alger - Vocabulaire — Corps humain,,,
cmo8hyi5s003p4ey1bhiijpe6,رْكْبَة,rkba,genou,Alger - Vocabulaire — Corps humain,,,
cmo8hyi5s003a4ey15b5s68h5,سْنَّان,snan,dents,Alger - Vocabulaire — Corps humain,,,
cmo8hyi5s003b4ey123577f2r,سْنُون,snoun,dents (variante),Alger - Vocabulaire — Corps humain,,,
cmo8hyi5s003e4ey19d2e75af,شْعَر,cha3r,cheveux,Alger - Vocabulaire — Corps humain,,,
cmo8hyi5s003j4ey1qkj852n7,صْبَع,Sba3,doigt,Alger - Vocabulaire — Corps humain,,,
cmo8hyi5s003r4ey12mwvmj30,صْبَع الرْجْل,Sba3 rjel,orteil,Alger - Vocabulaire — Corps humain,,,
cmo8hyi5s003k4ey12st2gmls,صْدْر,Sdr,poitrine,Alger - Vocabulaire — Corps humain,,,
cmo8hyi5s003l4ey17g3vtbg7,ظْهْر,Dher,dos,Alger - Vocabulaire — Corps humain,,,
cmo8hyi5s003s4ey14voyeih4,عْظْم,3Dhm,os,Alger - Vocabulaire — Corps humain,,,
cmo8hyi5s00374ey12w6a9etq,عِين,3in,œil,Alger - Vocabulaire — Corps humain,,,
cmo8hyi5s00394ey1i7fuccr3,فَمّ,femm,bouche,Alger - Vocabulaire — Corps humain,,,
cmo8hyi5s003q4ey13eudl4o0,قَلْب,qalb,forme de cœur,Alger - Vocabulaire — Corps humain,,,
cmo8hyi5s003g4ey1nht9jzti,كْتَاف,ktaf,épaules,Alger - Vocabulaire — Corps humain,,,
cmo8hyi5s003n4ey134d0qyuw,كْرْش,kerch,ventre,Alger - Vocabulaire — Corps humain,,,
cmo8hyi5s003c4ey1dc8nla8i,لْسَان,lsan,langue,Alger - Vocabulaire — Corps humain,,,
cmo8hyi5s003w4ey1j5iqazbc,مُخّ,mokh,cerveau (variante),Alger - Vocabulaire — Corps humain,,,
cmo8hyi5s003d4ey183ntprzn,مْنْخَار,mnkhar,nez,Alger - Vocabulaire — Corps humain,,,
cmo8hyi5s00364ey1w301nk7a,وَجْه,wjeh,visage,Alger - Vocabulaire — Corps humain,,,
cmo8hyi5s00384ey1a4pre6t6,وْدَن,wedn,oreille,Alger - Vocabulaire — Corps humain,,,
cmo8hyi5s003h4ey13psp2jvv,يَد,yed,main,Alger - Vocabulaire — Corps humain,,,
cmo8hyi6a00964ey1c8n4d5bc,بْحَر,b7ar,mer,Assouan - Vocabulaire — Nature,,,
cmo8hyi6a009g4ey1fvafnlap,بْرْق,breq,éclair,Assouan - Vocabulaire — Nature,,,
cmo8hyi6a009l4ey1jzl4goix,تْرَاب,trab,terre / sol,Assouan - Vocabulaire — Nature,,,
cmo8hyi6a009d4ey1z46j7p6l,تْلْج,telj,neige,Assouan - Vocabulaire — Nature,,,
cmo8hyi6a009i4ey1t4k2ytcd,جْبَل,jbel,montagne,Assouan - Vocabulaire — Nature,,,
cmo8hyi6a009k4ey16gyzb4ed,حْجَر,7jer,pierre,Assouan - Vocabulaire — Nature,,,
cmo8hyi6a009f4ey1ei93lq0y,رَعْد,ra3d,tonnerre,Assouan - Vocabulaire — Nature,,,
cmo8hyi6a009o4ey1b5d49dqv,رْمْل,rml,sable,Assouan - Vocabulaire — Nature,,,
cmo8hyi6a009b4ey15zmckdgp,رِيح,ri7,vent,Assouan - Vocabulaire — Nature,,,
cmo8hyi6a00984ey1gmw7npll,سْمَاء,sma,ciel,Assouan - Vocabulaire — Nature,,,
cmo8hyi6a009c4ey1ou3hvdg7,شْتَا,chta,pluie,Assouan - Vocabulaire — Nature,,,
cmo8hyi6a00934ey1abgfxtof,شَجْرَة,chajra,arbre,Assouan - Vocabulaire — Nature,,,
cmo8hyi6a00994ey13pm8fdj5,شْمْس,chms,soleil,Assouan - Vocabulaire — Nature,,,
cmo8hyi6a009j4ey1kmwv00x2,صَحْرَاء,Sa7ra2,désert,Assouan - Vocabulaire — Nature,,,
cmo8hyi6a009p4ey1czw9frwk,صَخْرَة,sakhra,roche,Assouan - Vocabulaire — Nature,,,
cmo8hyi6a00914ey1u7mo79nt,طَبِيعَة,Tabi3a,nature,Assouan - Vocabulaire — Nature,,,
cmo8hyi6a009n4ey1vgct2nc3,عْشْب,3chb,herbe,Assouan - Vocabulaire — Nature,,,
cmo8hyi6a00944ey1o8helmgw,غَابَة,ghaba,forêt,Assouan - Vocabulaire — Nature,,,
cmo8hyi6a009a4ey1avr0ea60,قْمَر,qmar,lune,Assouan - Vocabulaire — Nature,,,
cmo8hyi6a00974ey1rgxa47t0,مُحِيط,mo7iT,océan,Assouan - Vocabulaire — Nature,,,
cmo8hyi6a009e4ey1ddtmusuc,مْطَر,mTar,pluie (variante),Assouan - Vocabulaire — Nature,,,
cmo8hyi6a00954ey1b692s2x7,نَهْر,nahr,rivière,Assouan - Vocabulaire — Nature,,,
cmo8hyi6a009h4ey1pyduc3tz,وَادِي,wadi,vallée,Assouan - Vocabulaire — Nature,,,
cmo8hyi6a009m4ey12ki2fn7i,وَرْدَة,warda,fleur,Assouan - Vocabulaire — Nature,,,
cmo8hyi6a00924ey1ukfof4tp,وَرْقَة,wrqa,feuille / papier,Assouan - Vocabulaire — Nature,,,
cmo8hyi9b00xr4ey1992yddyj,البلدي,l-beldi,traditionnel,Baalbek — Le hammam & les soins,,,
cmo8hyi9a00xl4ey1o4vno9ei,الحمام,l-hammam,hammam (bain),Baalbek — Le hammam & les soins,,,
cmo8hyi9a00xo4ey10ru7ds66,الحنا,l-henna,henné,Baalbek — Le hammam & les soins,,,
cmo8hyi9a00xm4ey1hr2h7re9,الصابون,s-sabun,savon,Baalbek — Le hammam & les soins,,,
cmo8hyi9a00xn4ey1142vyw0t,الكيس,l-kis,gant de gommage,Baalbek — Le hammam & les soins,,,
cmo8hyi9b00xq4ey1eeoiucf2,بارد,bared,froid,Baalbek — Le hammam & les soins,,,
cmo8hyi9b00xp4ey1tu1bwbn8,سخون,skhoun,chaud,Baalbek — Le hammam & les soins,,,
cmo8hyi8y00w74ey120zcxg36,الثمن,t-taman,le prix,Bagdad — L'argent & la banque,,,
cmo8hyi8y00w54ey1da1c45vu,الفلوس,l-flous,l'argent,Bagdad — L'argent & la banque,,,
cmo8hyi8y00w64ey1tdqm4zci,درهم,dirham,dirham,Bagdad — L'argent & la banque,,,
cmo8hyi8y00w94ey175t3zqbn,رخيص,rkhis,bon marché,Bagdad — L'argent & la banque,,,
cmo8hyi8y00wb4ey1j6q86yc9,زيد,zid,ajoute / plus,Bagdad — L'argent & la banque,,,
cmo8hyi8y00wc4ey1053a765y,شحال,shhal,combien,Bagdad — L'argent & la banque,,,
cmo8hyi8y00w84ey1t9y9k511,غالي,ghali,cher,Bagdad — L'argent & la banque,,,
cmo8hyi8y00wa4ey14pskwvrd,ناقص,naqes,moins / baisse,Bagdad — L'argent & la banque,,,
cmo8hyi9b00y74ey1h6xdqtt8,أسود الأطلس,usud l-atlas,Lions de l'Atlas,Bethléem — Le sport,,,
cmo8hyi9b00y04ey1qdtm6kc7,الرياضة,r-riyada,le sport,Bethléem — Le sport,,,
cmo8hyi9b00y14ey1b5a8op3x,الكرة,l-koura,le ballon / foot,Bethléem — Le sport,,,
cmo8hyi9b00y64ey1ymxow1oh,المباراة,l-mubara,le match,Bethléem — Le sport,,,
cmo8hyi9b00y24ey1smp4lgla,المنتخب,l-montakhab,l'équipe nationale,Bethléem — Le sport,,,
cmo8hyi9b00y54ey1q1j4uiuh,خسر,khser,perdre,Bethléem — Le sport,,,
cmo8hyi9b00y44ey1461h30ft,ربح,rbeh,gagner,Bethléem — Le sport,,,
cmo8hyi9b00y34ey1l2vq8wi1,گول,goal,but,Bethléem — Le sport,,,
cmo8hyi9a00xh4ey1qtieqh14,البراد,l-berrad,théière,Beyrouth — Le thé & l'hospitalité,,,
cmo8hyi9a00xg4ey1pmnva1il,السكر,s-sokkar,sucre,Beyrouth — Le thé & l'hospitalité,,,
cmo8hyi9a00xk4ey1ipft5go6,الضيافة,d-diyafa,hospitalité,Beyrouth — Le thé & l'hospitalité,,,
cmo8hyi9a00xi4ey1ln93gxlj,الكاس,l-kas,verre,Beyrouth — Le thé & l'hospitalité,,,
cmo8hyi9a00xf4ey1zaauehb3,النعناع,n-n3na3,menthe,Beyrouth — Le thé & l'hospitalité,,,
cmo8hyi9a00xj4ey17ztyio8g,تفضل,tfeddel,sers-toi / je t'en prie,Beyrouth — Le thé & l'hospitalité,,,
cmo8hyi9b00yw4ey1psbokrwx,تسعود,ts3oud,neuf (9),Chardjah - Vocabulaire — Nombres,,,
cmo8hyi9b00yq4ey1y5dbj11m,تلاتة,tlata,trois (3),Chardjah - Vocabulaire — Nombres,,,
cmo8hyi9b00yv4ey15vrdvti5,تمنية,tmnia,huit (8),Chardjah - Vocabulaire — Nombres,,,
cmo8hyi9b00yp4ey1qz4ahiuc,جوج,jouj,deux (2),Chardjah - Vocabulaire — Nombres,,,
cmo8hyi9b00ys4ey1ensj7745,خمسة,khamsa,cinq (5),Chardjah - Vocabulaire — Nombres,,,
cmo8hyi9b00yr4ey118r95qdf,ربعة,reb3a,quatre (4),Chardjah - Vocabulaire — Nombres,,,
cmo8hyi9b00yu4ey1j6ofc7xa,سبعة,seb3a,sept (7),Chardjah - Vocabulaire — Nombres,,,
cmo8hyi9b00yt4ey1d6zc30mv,ستة,setta,six (6),Chardjah - Vocabulaire — Nombres,,,
cmo8hyi9b00yx4ey1i98zljyr,عشرة,3achra,dix (10),Chardjah - Vocabulaire — Nombres,,,
cmo8hyi9b00yo4ey1ea8r1l5k,واحد,wahed,un (1),Chardjah - Vocabulaire — Nombres,,,
cmo8hyi5600234ey18c0t9jht,آمَن,amen,sûr / sécurisé,Chinguetti - Vocabulaire — Adjectifs,,,
cmo8hyi5600244ey1kj60ti7m,بَارِد,barid,froid,Chinguetti - Vocabulaire — Adjectifs,,,
cmo8hyi56001h4ey1duioshcr,بْشِيع,bchi3,moche,Chinguetti - Vocabulaire — Adjectifs,,,
cmo8hyi56001x4ey1ggkji3zj,بْطِيء,bTi2,lent,Chinguetti - Vocabulaire — Adjectifs,,,
cmo8hyi5600214ey179vbtip5,بْعِيد,b3id,loin,Chinguetti - Vocabulaire — Adjectifs,,,
cmo8hyi56001m4ey1pdk1jlde,ثْقِيل,thqil,lourd,Chinguetti - Vocabulaire — Adjectifs,,,
cmo8hyi56001s4ey14rp3s1ks,جْدِيد,jdid,nouveau,Chinguetti - Vocabulaire — Adjectifs,,,
cmo8hyi56001g4ey15regxmoc,خَايَب,khayeb,nul / mauvais,Chinguetti - Vocabulaire — Adjectifs,,,
cmo8hyi5600224ey1eugbytqp,خَطِير,khatir,énorme / stylé,Chinguetti - Vocabulaire — Adjectifs,,,
cmo8hyi56001n4ey1vlgrnu2m,خْفِيف,khfif,léger,Chinguetti - Vocabulaire — Adjectifs,,,
cmo8hyi56001r4ey1ipvfu224,رْخِيص,rkhis,pas cher,Chinguetti - Vocabulaire — Adjectifs,,,
cmo8hyi56001f4ey16x7c7pyr,زْوِين,zwine,beau / joli,Chinguetti - Vocabulaire — Adjectifs,,,
cmo8hyi5600254ey12vsc0q27,سْخُون,skhoun,chaud,Chinguetti - Vocabulaire — Adjectifs,,,
cmo8hyi56001w4ey1c7548urf,سْرِيع,sri3,rapide,Chinguetti - Vocabulaire — Adjectifs,,,
cmo8hyi56001o4ey1gddai9ht,سَهْل,sahl,facile,Chinguetti - Vocabulaire — Adjectifs,,,
cmo8hyi56001p4ey1pnez3a6n,صْعِيب,s3ib,difficile,Chinguetti - Vocabulaire — Adjectifs,,,
cmo8hyi56001j4ey1coladbr3,صْغِير,sghir,petit,Chinguetti - Vocabulaire — Adjectifs,,,
cmo8hyi56001z4ey1wjjapimm,ضَرُورِي,Darouri,nécessaire / indispensable,Chinguetti - Vocabulaire — Adjectifs,,,
cmo8hyi56002d4ey1nzd57by0,ضْعِيف,D3if,faible,Chinguetti - Vocabulaire — Adjectifs,,,
cmo8hyi56001k4ey17scg0r4r,طْوِيل,Twil,long / grand (taille),Chinguetti - Vocabulaire — Adjectifs,,,
cmo8hyi56001q4ey144kofvbg,غَالِي,ghali,cher,Chinguetti - Vocabulaire — Adjectifs,,,
cmo8hyi56002h4ey1xb492chu,غَامَض,ghamD,ambigu / mystérieux,Chinguetti - Vocabulaire — Adjectifs,,,
cmo8hyi56002f4ey1ojef9ms3,فَارِغ,fargh,vide,Chinguetti - Vocabulaire — Adjectifs,,,
cmo8hyi56001t4ey14k3cvzb5,قْدِيم,qdim,ancien / vieux,Chinguetti - Vocabulaire — Adjectifs,,,
cmo8hyi5600204ey156m4bxzd,قْرِيب,qrib,près,Chinguetti - Vocabulaire — Adjectifs,,,
cmo8hyi56001l4ey19fd4bykj,قْصِير,qSir,court / petit (taille),Chinguetti - Vocabulaire — Adjectifs,,,
cmo8hyi56002c4ey1cts6agm6,قْوِي,qwi,fort,Chinguetti - Vocabulaire — Adjectifs,,,
cmo8hyi56001i4ey10m55y6mj,كْبِير,kbir,grand,Chinguetti - Vocabulaire — Adjectifs,,,
cmo8hyi5600264ey19c1fi12o,مْبَلَّل,mbellal,mouillé,Chinguetti - Vocabulaire — Adjectifs,,,
cmo8hyi56002a4ey1nmysbw7b,مْرِيح,mri7,confortable,Chinguetti - Vocabulaire — Adjectifs,,,
cmo8hyi56002b4ey11zi2p9qk,مْزَعَّج,mz3j,dérangeant,Chinguetti - Vocabulaire — Adjectifs,,,
cmo8hyi5600294ey1jp7g3zu3,مَسْدُود,msdoud,fermé / bloqué,Chinguetti - Vocabulaire — Adjectifs,,,
cmo8hyi5600284ey16f1xx94d,مَفْتُوح,mftou7,ouvert,Chinguetti - Vocabulaire — Adjectifs,,,
cmo8hyi56002e4ey1wnvlmq6w,مْلْيَان,mlyan,plein,Chinguetti - Vocabulaire — Adjectifs,,,
cmo8hyi56001y4ey193ar3kp2,مْهَم,mohem,important,Chinguetti - Vocabulaire — Adjectifs,,,
cmo8hyi56001u4ey1smz68c97,نْقِي,nqi,propre,Chinguetti - Vocabulaire — Adjectifs,,,
cmo8hyi56002g4ey1ng3o5gtr,وَاضَح,waDe7,clair,Chinguetti - Vocabulaire — Adjectifs,,,
cmo8hyi56001v4ey1ufgmqjgk,وْسَخ,wskh,sale,Chinguetti - Vocabulaire — Adjectifs,,,
cmo8hyi5600274ey1v40iaohi,يَابَس,yabes,sec,Chinguetti - Vocabulaire — Adjectifs,,,
cmo8hyi5t004o4ey11vt6e294,تَنُّورَة,tnoura,jupe,Constantine - Vocabulaire — Vêtements,,,
cmo8hyi5s00404ey1w8vrg1bz,تِيشِيرْت,tichirt,t-shirt,Constantine - Vocabulaire — Vêtements,,,
cmo8hyi5s00444ey17vq96mla,جَاكِيطَة,jakita,veste,Constantine - Vocabulaire — Vêtements,,,
cmo8hyi5t004k4ey1qr4q0zli,جَلَّابَة,jellaba,djellaba,Constantine - Vocabulaire — Vêtements,,,
cmo8hyi5t00494ey1izuwrex0,جْوَارْب,jwaryb,chaussettes (variante),Constantine - Vocabulaire — Vêtements,,,
cmo8hyi5t004j4ey1b6hsphbg,حْجَاب,7jab,voile,Constantine - Vocabulaire — Vêtements,,,
cmo8hyi5s00454ey1slpbhh4k,حْذَاء,7da2,chaussures,Constantine - Vocabulaire — Vêtements,,,
cmo8hyi5t004h4ey1s8aud584,حْزَام,7zam,ceinture,Constantine - Vocabulaire — Vêtements,,,
cmo8hyi5s003x4ey1vj91kiw6,حْوَايَج,7wayej,vêtements,Constantine - Vocabulaire — Vêtements,,,
